Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,D2D Price,VTS Friend Price,Currency,Quantity,Buy Now Activate?,Buy Now Shipping,Ships Within (days),Make an Offer?,Auto-Accept Offers above,Auto-Reject Offers below,Weight,"Weight Units (1 = 'Lbs', 2= 'Kg')",Height,Width,Depth,Sale %,Bulk Shipping Eligible,Available as Parts?,In Stock,Item ID,Item ID Type (SKU/EAC/JAN/MPN/MMN),Your Item ID,Your Item ID 2,Alt. Address,Youtube URL,Video URL,Listing ID (Leave Blank to Add),Delete,Auto-Renew,Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Specification Name (Optional),Specification Value (Optional),Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19,Image 20,Image 21,Image 22,Image 23,Image 24,Image 25
X-Ray Tube,,PHILIPS,PHILIPS,,ROT751 SRC120 0411 980620741002,ROT751 SRC120-0411 980630170002,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,879984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,BRILLIANCE,PHILIPS,PHILIPS,a79446-200 a79446-202 backplane,A79446-200 A79446-202,A79446-200 A79446-202 BACKPLANE,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,3587754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Camera,,CAMERA,CAMERA,,"A14-PAGE STORE, OR HMADN,  OR 4b5103, OR 2632-238  A14-PAGE STORE, OR HMADN,  OR 4D5103, OR 2632-238","A14-PAGE STORE, OR HMADN,  OR 4b5103, OR 2632-238  A14-PAGE STORE, OR HMADN,  OR 4D5103, OR 2632-238",,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1533679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,VCT,GE,GE,5212920-150 goc6.6 with z800 dec/2013,5212920-150 GOC6.6 WITH Z800 DEC/2013,5212920-150 GOC6.6 WITH Z800 DEC/2013,,part,For Sale,,,,,1,n,,,,,,,,,,,0,n,n,y,,,,,,,,2842838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Scanner,,SRI,SRI,,EB2124 DCC 24V,EB2124 DCC 24V,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,882907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS,SIEMENS,,6089051 D5,6089051 D5,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,682699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS ANGIO,SIEMENS ANGIO,,"8593089X1755, D170A  8593089X1755, D170A","8593089X1755, D170A  8593089X1755, D170A",,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1534085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET Camera / Scanner,EXACT 47,SIEMENS,SIEMENS,3230603 REV B,3230603 ,3230603 REV B,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1662473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,FUJI,FUJI,,DMC03A 113Y0980,LASER LIGHT BULB FOR CS3,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,1523489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cath Angio Lab,,SIEMENS,SIEMENS,,5402516 X1190 D9,7132392 X1212 D57,,part,For Sale,,,,,,n,,,,,,,,,,,0,n,n,y,,,,,,,,879827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
