Category,System Model,System Mfg,Part Mfg,Part Number
CATH ANGIO LAB,INFINIX,TOSHIBACANON,TOSHIBACANON,bsx17-4242
C ARM,CIOS-SELECT,SIEMENS,SIEMENS,11577307
BONE DENSITOMETER,TEST,ACCURAY,ACCURAY,test
CT SCANNER,BRILLIANCE-ICT-128,PHILIPS,PHILIPS,453567502561
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452215023461
CT SCANNER,BRILLIANCE-ICT-128,PHILIPS,PHILIPS,459800107621
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213245451
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5116147-2
CT SCANNER,LIGHTSPEED-VCT-64,GE,GE,5116147
CT SCANNER,AQUILION-16,TOSHIBACANON,TOSHIBACANON,px74-07081-b
C ARM,OEC-9800-ESP,GE,GE,00-901523-02
NUCLEAR GAMMA CAMERA,SYMBIA-S,SIEMENS,SIEMENS,10522042
CATH ANGIO LAB,ALLURA-XPER-FD20-AZURION,PHILIPS,PHILIPS,459800262732
CATH ANGIO LAB,OPTIMA-IGS-330,GE,GE,2333922-2
MRI SCANNER,MULTIVA-15T,PHILIPS,PHILIPS,459800661762
CT SCANNER,INGENUITY-64,PHILIPS,PHILIPS,459800992251
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,dq115ee20a8ldcg
CATH ANGIO LAB,INFINIX,TOSHIBACANON,TOSHIBACANON,bx17-3693e-gr-1
CT SCANNER,HISPEED,GE,GE,2200770-2
RAD ROOM,OPTIMA-XR-646-DIGITAL-DEFINIUM-6000,GE,GE,5257186
RAD ROOM,OPTIMA-XR-646-DIGITAL,GE,GE,5843000-3
RAD FLUORO ROOM,PRECISION-500D,GE,GE,5389155-2
CT SCANNER,LIGHTSPEED-16,GE,GE,989603204831
CT SCANNER,BRILLIANCE-BIG-BORE-BRILLIANCE-64-BRILLIANCE-16-INGENUITY-128-BRILLIANCE-ICT-128-BRILLIANCE-ICT-256,PHILIPS,PHILIPS,4598-000-56952
MRI SCANNER,SIGNA-OVATION-035T,GE,GE,2283073-2
MRI SCANNER,SIGNA-EXCITEHD-15T,GE,GE,lr54280
RAD ROOM,MULTIX-IMPACT,SIEMENS,SIEMENS,11011501
CATH ANGIO LAB,DISCOVERY-IGS-740,GE,GE,5490870
MRI SCANNER,INGENIA-15T,PHILIPS,PHILIPS,459801290052
MAMMO UNIT,SENOGRAPHE-ESSENTIAL,GE,GE,5390740
PET CT,MAMMOMAT-REVELATION-LUMINOS-AGILE-MAX-BIOGRAPH-40-64-TRUEPOINT,SIEMENS,SIEMENS,10144074
RAD FLUORO ROOM,MAMMOMAT-REVELATION-LUMINOS-AGILE-MAX-BIOGRAPH-40-64-TRUEPOINT,SIEMENS,SIEMENS,10144074
MAMMO UNIT,MAMMOMAT-REVELATION-LUMINOS-AGILE-MAX-BIOGRAPH-40-64-TRUEPOINT,SIEMENS,SIEMENS,10144074
CATH ANGIO LAB,ALLURA-XPER-FD20,PHILIPS,PHILIPS,989600200543
CT SCANNER,EMOTION-6,SIEMENS,SIEMENS,10355842
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530322313
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452213180323
CT SCANNER,BRILLIANCE-64,PHILIPS,PHILIPS,455014005011
CATH ANGIO LAB,ALLURA-XPER-FD20-INTEGRIS-CV-9,PHILIPS,PHILIPS,452212805674
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,459800013771
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,453530322312
MRI SCANNER,ACHIEVA-15T,PHILIPS,PHILIPS,452215034271
CT SCANNER,BRILLIANCE-16,PHILIPS,PHILIPS,455011305201
